serie,i,j,cola,reps,dk_llamadas_prom,dk_llamadas_desv,dk_tiempo_ms_prom,dk_tiempo_ms_desv,dk_ops_prom,dk_ops_desv,dk_ops_cascada_prom,dk_ops_cascada_desv,dk_ops_por_llamada,dk_ops_cascada_por_llamada,ns_por_llamada
C,18,18,binomial,10,262143.9,0.3,72.634,1.392,1758781.1,5223.6,0.0,0.0,6.7092,0.0000,277.1
C,18,18,fibonacci,10,262143.9,0.3,58.166,1.153,358244.3,3111.9,97771.0,2836.6,1.3666,0.3730,221.9
C,18,19,binomial,10,426459.2,213.6,110.500,0.761,1605699.0,2358.2,0.0,0.0,3.7652,0.0000,259.1
C,18,19,fibonacci,10,426459.2,213.6,93.988,1.037,435125.8,546.6,104380.1,417.2,1.0203,0.2448,220.4
C,18,20,binomial,10,603867.6,464.1,148.431,1.256,1695314.2,2491.7,0.0,0.0,2.8074,0.0000,245.8
C,18,20,fibonacci,10,603867.6,464.1,140.172,0.819,541476.9,752.2,142259.9,606.4,0.8967,0.2356,232.1
C,18,21,binomial,10,785038.5,678.3,187.555,1.594,1790003.8,2525.8,0.0,0.0,2.2801,0.0000,238.9
C,18,21,fibonacci,10,785038.5,678.3,188.224,1.507,639396.2,892.9,178210.7,557.8,0.8145,0.2270,239.8
C,18,22,binomial,10,966541.8,545.5,227.070,1.782,1883316.6,3031.0,0.0,0.0,1.9485,0.0000,234.9
C,18,22,fibonacci,10,966541.8,545.5,236.996,1.847,732415.0,1160.1,212686.8,798.1,0.7578,0.2200,245.2
D,14,22,binomial,10,105740.7,223.6,5.316,0.086,118897.1,638.9,0.0,0.0,1.1244,0.0000,50.3
D,14,22,fibonacci,10,105740.7,223.6,6.280,0.135,67612.1,435.6,21244.3,230.4,0.6394,0.2009,59.4
D,15,22,binomial,10,188944.9,378.3,12.199,0.165,238064.0,868.4,0.0,0.0,1.2600,0.0000,64.6
D,15,22,fibonacci,10,188944.9,378.3,15.370,0.243,124780.1,505.7,38899.8,319.8,0.6604,0.2059,81.3
D,16,22,binomial,10,332744.9,533.9,38.420,0.540,475316.8,1337.7,0.0,0.0,1.4285,0.0000,115.5
D,16,22,fibonacci,10,332744.9,533.9,51.272,0.470,228345.2,710.9,70088.9,339.5,0.6862,0.2106,154.1
D,17,22,binomial,10,574405.2,453.4,106.654,0.227,946344.1,1744.0,0.0,0.0,1.6475,0.0000,185.7
D,17,22,fibonacci,10,574405.2,453.4,122.375,0.480,412177.2,680.8,123698.9,436.2,0.7176,0.2154,213.0
D,18,22,binomial,10,966490.1,691.7,230.264,2.600,1884029.1,1531.0,0.0,0.0,1.9494,0.0000,238.2
D,18,22,fibonacci,10,966490.1,691.7,240.538,1.807,732738.7,1176.4,212804.7,651.2,0.7581,0.2202,248.9
