serie,i,j,cola,reps,tiempo_ms_prom,tiempo_ms_desv
A,20,20,binomial,10,1947.021,14.163
A,20,20,fibonacci,10,1272.193,14.387
A,20,21,binomial,10,2289.643,11.894
A,20,21,fibonacci,10,1783.614,11.053
A,20,22,binomial,10,2561.279,5.965
A,20,22,fibonacci,10,2079.560,14.630
A,20,23,binomial,10,2866.508,15.489
A,20,23,fibonacci,10,2455.576,6.581
A,20,24,binomial,10,3326.616,23.495
A,20,24,fibonacci,10,3054.657,34.175
B,18,24,binomial,10,1013.295,12.339
B,18,24,fibonacci,10,1031.587,13.351
B,19,24,binomial,10,1800.365,9.329
B,19,24,fibonacci,10,1753.124,6.827
B,20,24,binomial,10,3337.125,31.229
B,20,24,fibonacci,10,3058.316,40.615
B,21,24,binomial,10,6454.251,35.291
B,21,24,fibonacci,10,5341.763,32.415
B,22,24,binomial,10,13193.481,56.626
B,22,24,fibonacci,10,10055.429,93.471
