serie,i,j,cola,rep0_ms,rep1_ms,rep2_ms,rep3_ms,rep4_ms,rep5_ms,rep6_ms,rep7_ms,rep8_ms,rep9_ms,promedio_ms
A,20,20,binomial,1940.752,1978.646,1954.965,1938.161,1943.110,1938.469,1927.446,1952.757,1940.272,1955.633,1947.021
A,20,20,fibonacci,1294.838,1269.661,1273.031,1278.112,1263.949,1279.676,1239.904,1280.518,1265.215,1277.031,1272.193
A,20,21,binomial,2282.775,2308.498,2283.155,2278.434,2291.735,2289.778,2282.032,2275.351,2294.785,2309.883,2289.643
A,20,21,fibonacci,1782.283,1781.714,1778.639,1787.882,1803.722,1764.355,1790.689,1770.280,1786.813,1789.759,1783.614
A,20,22,binomial,2561.550,2554.741,2566.357,2561.124,2568.810,2557.637,2565.236,2568.476,2551.239,2557.624,2561.279
A,20,22,fibonacci,2103.333,2095.863,2078.234,2084.368,2079.286,2087.812,2075.766,2067.001,2072.244,2051.692,2079.560
A,20,23,binomial,2862.334,2886.161,2877.544,2877.431,2882.331,2865.783,2872.988,2851.473,2840.758,2848.277,2866.508
A,20,23,fibonacci,2460.959,2464.599,2457.277,2463.885,2456.729,2454.014,2445.903,2454.868,2451.649,2445.872,2455.576
A,20,24,binomial,3363.987,3342.349,3292.692,3289.817,3319.815,3342.374,3310.109,3329.940,3338.626,3336.453,3326.616
A,20,24,fibonacci,3050.695,3033.880,3027.202,3024.998,3105.106,3107.025,3016.381,3029.300,3068.102,3083.883,3054.657
B,18,24,binomial,1015.038,1019.164,1035.055,1010.861,1009.754,999.705,1030.680,1012.459,1001.804,998.426,1013.295
B,18,24,fibonacci,1031.370,1051.947,1044.976,1023.020,1035.428,1027.509,1046.759,1024.375,1008.562,1021.931,1031.587
B,19,24,binomial,1789.144,1799.723,1786.598,1813.484,1804.668,1797.988,1815.034,1800.118,1803.375,1793.519,1800.365
B,19,24,fibonacci,1762.850,1763.413,1753.923,1755.764,1747.257,1756.194,1753.770,1744.014,1744.818,1749.236,1753.124
B,20,24,binomial,3379.933,3371.843,3310.921,3333.609,3304.212,3290.070,3360.309,3348.762,3358.884,3312.703,3337.125
B,20,24,fibonacci,3115.364,3113.190,3025.113,3083.688,3008.210,3066.935,3089.568,3038.530,3029.595,3012.965,3058.316
B,21,24,binomial,6519.254,6443.854,6425.016,6500.727,6484.736,6455.866,6419.597,6437.305,6422.147,6434.003,6454.251
B,21,24,fibonacci,5380.494,5339.162,5311.926,5360.023,5405.740,5329.301,5307.395,5345.738,5329.837,5308.019,5341.763
B,22,24,binomial,13256.399,13208.294,13155.301,13172.601,13127.058,13288.508,13255.217,13174.817,13124.818,13171.799,13193.481
B,22,24,fibonacci,9943.628,9927.410,10034.302,10096.372,10118.258,10165.414,10095.808,10169.734,10076.193,9927.175,10055.429
