serie,i,j,rep,cola,llamadas,tiempo_acum_ns,ops_acum,ops_cascada_acum
C,18,18,0,binomial,64,35757,301,0
C,18,18,0,binomial,128,69721,644,0
C,18,18,0,binomial,192,100847,989,0
C,18,18,0,binomial,256,130213,1364,0
C,18,18,0,binomial,320,156016,1709,0
C,18,18,0,binomial,384,180550,2083,0
C,18,18,0,binomial,448,208157,2472,0
C,18,18,0,binomial,512,231756,2839,0
C,18,18,0,binomial,576,257832,3239,0
C,18,18,0,binomial,640,278887,3626,0
C,18,18,0,binomial,704,304997,4059,0
C,18,18,0,binomial,768,331135,4496,0
C,18,18,0,binomial,832,353198,4899,0
C,18,18,0,binomial,896,375617,5308,0
C,18,18,0,binomial,960,397410,5720,0
C,18,18,0,binomial,1024,419960,6153,0
C,18,18,0,binomial,1088,443109,6549,0
C,18,18,0,binomial,1152,464318,6980,0
C,18,18,0,binomial,1216,486948,7402,0
C,18,18,0,binomial,1280,507226,7815,0
C,18,18,0,binomial,1344,525425,8220,0
C,18,18,0,binomial,1408,544709,8624,0
C,18,18,0,binomial,1472,565542,9047,0
C,18,18,0,binomial,1536,586735,9456,0
C,18,18,0,binomial,1600,608527,9915,0
C,18,18,0,binomial,1664,627310,10344,0
C,18,18,0,binomial,1728,647475,10746,0
C,18,18,0,binomial,1792,664627,11136,0
C,18,18,0,binomial,1856,684160,11574,0
C,18,18,0,binomial,1920,702512,11964,0
C,18,18,0,binomial,1984,722894,12368,0
C,18,18,0,binomial,2048,739618,12799,0
C,18,18,0,binomial,2112,761818,13239,0
C,18,18,0,binomial,2176,781868,13678,0
C,18,18,0,binomial,2240,805212,14120,0
C,18,18,0,binomial,2304,824945,14536,0
C,18,18,0,binomial,2368,843838,14923,0
C,18,18,0,binomial,2432,860262,15307,0
C,18,18,0,binomial,2496,881818,15728,0
C,18,18,0,binomial,2560,903784,16099,0
C,18,18,0,binomial,2624,929082,16466,0
C,18,18,0,binomial,2688,948658,16879,0
C,18,18,0,binomial,2752,969426,17292,0
C,18,18,0,binomial,2816,990218,17751,0
C,18,18,0,binomial,2880,1009478,18181,0
C,18,18,0,binomial,2944,1028397,18613,0
C,18,18,0,binomial,3008,1047445,19043,0
C,18,18,0,binomial,3072,1067371,19469,0
C,18,18,0,binomial,3136,1086813,19894,0
C,18,18,0,binomial,3200,1104617,20331,0
C,18,18,0,binomial,3264,1123925,20729,0
C,18,18,0,binomial,3328,1143548,21186,0
C,18,18,0,binomial,3392,1165070,21638,0
C,18,18,0,binomial,3456,1184355,22016,0
C,18,18,0,binomial,3520,1203435,22444,0
C,18,18,0,binomial,3584,1223011,22854,0
C,18,18,0,binomial,3648,1243286,23295,0
C,18,18,0,binomial,3712,1262914,23732,0
C,18,18,0,binomial,3776,1281159,24152,0
C,18,18,0,binomial,3840,1301177,24600,0
C,18,18,0,binomial,3904,1317382,25009,0
C,18,18,0,binomial,3968,1336580,25472,0
C,18,18,0,binomial,4032,1354143,25877,0
C,18,18,0,binomial,4096,1371504,26255,0
C,18,18,0,binomial,4160,1387323,26629,0
C,18,18,0,binomial,4224,1404575,27018,0
C,18,18,0,binomial,4288,1427461,27411,0
C,18,18,0,binomial,4352,1445154,27837,0
C,18,18,0,binomial,4416,1463605,28249,0
C,18,18,0,binomial,4480,1482648,28696,0
C,18,18,0,binomial,4544,1501441,29172,0
C,18,18,0,binomial,4608,1521039,29659,0
C,18,18,0,binomial,4672,1538294,30064,0
C,18,18,0,binomial,4736,1555528,30494,0
C,18,18,0,binomial,4800,1572407,30911,0
C,18,18,0,binomial,4864,1590500,31323,0
C,18,18,0,binomial,4928,1608435,31785,0
C,18,18,0,binomial,4992,1625580,32173,0
C,18,18,0,binomial,5056,1643479,32557,0
C,18,18,0,binomial,5120,1662964,33026,0
C,18,18,0,binomial,5184,1680246,33461,0
C,18,18,0,binomial,5248,1699961,33885,0
C,18,18,0,binomial,5312,1719540,34334,0
C,18,18,0,binomial,5376,1737316,34789,0
C,18,18,0,binomial,5440,1757198,35241,0
C,18,18,0,binomial,5504,1776686,35679,0
C,18,18,0,binomial,5568,1793907,36106,0
C,18,18,0,binomial,5632,1810180,36520,0
C,18,18,0,binomial,5696,1827332,36925,0
C,18,18,0,binomial,5760,1842828,37296,0
C,18,18,0,binomial,5824,1861312,37679,0
C,18,18,0,binomial,5888,1876903,38078,0
C,18,18,0,binomial,5952,1900256,38489,0
C,18,18,0,binomial,6016,1918139,38897,0
C,18,18,0,binomial,6080,1935005,39309,0
C,18,18,0,binomial,6144,1953606,39694,0
C,18,18,0,binomial,6208,1973189,40176,0
C,18,18,0,binomial,6272,1991235,40606,0
C,18,18,0,binomial,6336,2007103,41000,0
C,18,18,0,binomial,6400,2023868,41440,0
C,18,18,0,binomial,6464,2040779,41886,0
C,18,18,0,binomial,6528,2060976,42372,0
C,18,18,0,binomial,6592,2078871,42799,0
