serie,i,j,v,e,rep,semilla,cola,tiempo_ms,peso_mst,dk_llamadas,dk_tiempo_ns,dk_ops,dk_ops_cascada
A,20,20,1048576,1048576,0,20462928,binomial,1940.751653,524396.882691,1048576,0,8001212,0
A,20,20,1048576,1048576,0,20462928,fibonacci,1294.838118,524396.882691,1048576,0,1454688,409957
A,20,20,1048576,1048576,1,20462929,fibonacci,1269.660787,523850.45124,1048576,0,1444417,401772
A,20,20,1048576,1048576,1,20462929,binomial,1978.645563,523850.45124,1048576,0,8022473,0
A,20,20,1048576,1048576,2,20462930,binomial,1954.96499,524381.294667,1048576,0,7966916,0
A,20,20,1048576,1048576,2,20462930,fibonacci,1273.03064,524381.294667,1048576,0,1424650,383425
A,20,20,1048576,1048576,3,20462931,fibonacci,1278.111861,524471.124216,1048576,0,1420520,379415
A,20,20,1048576,1048576,3,20462931,binomial,1938.160647,524471.124216,1048576,0,7962389,0
A,20,20,1048576,1048576,4,20462932,binomial,1943.110452,524239.02056,1048576,0,7998669,0
A,20,20,1048576,1048576,4,20462932,fibonacci,1263.948639,524239.02056,1048576,0,1444616,400914
A,20,20,1048576,1048576,5,20462933,fibonacci,1279.676117,524043.338436,1048576,0,1430859,389071
A,20,20,1048576,1048576,5,20462933,binomial,1938.469285,524043.338436,1048576,0,7968755,0
A,20,20,1048576,1048576,6,20462934,binomial,1927.446204,524677.101708,1048576,0,8005213,0
A,20,20,1048576,1048576,6,20462934,fibonacci,1239.904424,524677.101708,1048576,0,1452859,408618
A,20,20,1048576,1048576,7,20462935,fibonacci,1280.517711,524103.426533,1048576,0,1422930,380751
A,20,20,1048576,1048576,7,20462935,binomial,1952.757083,524103.426533,1048576,0,7951060,0
A,20,20,1048576,1048576,8,20462936,binomial,1940.271938,524382.507747,1048576,0,8001160,0
A,20,20,1048576,1048576,8,20462936,fibonacci,1265.214542,524382.507747,1048576,0,1448107,404404
A,20,20,1048576,1048576,9,20462937,fibonacci,1277.030748,524343.920566,1048576,0,1453606,409480
A,20,20,1048576,1048576,9,20462937,binomial,1955.632885,524343.920566,1048576,0,8006930,0
A,20,21,1048576,2097152,0,20463028,binomial,2282.77477,299958.829348,1706159,0,7101599,0
A,20,21,1048576,2097152,0,20463028,fibonacci,1782.283205,299958.829348,1706159,0,1741990,418279
A,20,21,1048576,2097152,1,20463029,fibonacci,1781.713849,300106.496864,1705193,0,1740118,417416
A,20,21,1048576,2097152,1,20463029,binomial,2308.498055,300106.496864,1705193,0,7094386,0
A,20,21,1048576,2097152,2,20463030,binomial,2283.155199,299910.576556,1705521,0,7098449,0
A,20,21,1048576,2097152,2,20463030,fibonacci,1778.638549,299910.576556,1705521,0,1741323,418305
A,20,21,1048576,2097152,3,20463031,fibonacci,1787.881774,299493.096528,1706257,0,1740575,416362
A,20,21,1048576,2097152,3,20463031,binomial,2278.434268,299493.096528,1706257,0,7106548,0
A,20,21,1048576,2097152,4,20463032,binomial,2291.735316,299637.665913,1706518,0,7110857,0
A,20,21,1048576,2097152,4,20463032,fibonacci,1803.722383,299637.665913,1706518,0,1742870,418995
A,20,21,1048576,2097152,5,20463033,fibonacci,1764.35545,299822.132686,1706226,0,1741188,417491
A,20,21,1048576,2097152,5,20463033,binomial,2289.777716,299822.132686,1706226,0,7108255,0
A,20,21,1048576,2097152,6,20463034,binomial,2282.031708,299553.27215,1706216,0,7110799,0
A,20,21,1048576,2097152,6,20463034,fibonacci,1790.689025,299553.27215,1706216,0,1743522,419356
A,20,21,1048576,2097152,7,20463035,fibonacci,1770.280358,299970.736936,1706633,0,1743395,419461
A,20,21,1048576,2097152,7,20463035,binomial,2275.350872,299970.736936,1706633,0,7113444,0
A,20,21,1048576,2097152,8,20463036,binomial,2294.785284,299917.737346,1704862,0,7098531,0
A,20,21,1048576,2097152,8,20463036,fibonacci,1786.812624,299917.737346,1704862,0,1739302,416602
A,20,21,1048576,2097152,9,20463037,fibonacci,1789.75915,299388.802922,1705868,0,1742704,419061
