serie,i,j,rep,cola_ref,peso_ref,cola,peso,diferencia,ok
A,20,20,0,binomial,524396.882691,fibonacci,524396.882691,0,1
A,20,20,1,fibonacci,523850.45124,binomial,523850.45124,0,1
A,20,20,2,binomial,524381.294667,fibonacci,524381.294667,0,1
A,20,20,3,fibonacci,524471.124216,binomial,524471.124216,0,1
A,20,20,4,binomial,524239.02056,fibonacci,524239.02056,0,1
A,20,20,5,fibonacci,524043.338436,binomial,524043.338436,0,1
A,20,20,6,binomial,524677.101708,fibonacci,524677.101708,0,1
A,20,20,7,fibonacci,524103.426533,binomial,524103.426533,0,1
A,20,20,8,binomial,524382.507747,fibonacci,524382.507747,0,1
A,20,20,9,fibonacci,524343.920566,binomial,524343.920566,0,1
A,20,21,0,binomial,299958.829348,fibonacci,299958.829348,0,1
A,20,21,1,fibonacci,300106.496864,binomial,300106.496864,0,1
A,20,21,2,binomial,299910.576556,fibonacci,299910.576556,0,1
A,20,21,3,fibonacci,299493.096528,binomial,299493.096528,0,1
A,20,21,4,binomial,299637.665913,fibonacci,299637.665913,0,1
A,20,21,5,fibonacci,299822.132686,binomial,299822.132686,0,1
A,20,21,6,binomial,299553.27215,fibonacci,299553.27215,0,1
A,20,21,7,fibonacci,299970.736936,binomial,299970.736936,0,1
A,20,21,8,binomial,299917.737346,fibonacci,299917.737346,0,1
A,20,21,9,fibonacci,299388.802922,binomial,299388.802922,0,1
A,20,22,0,binomial,156679.666003,fibonacci,156679.666003,0,1
A,20,22,1,fibonacci,156380.617668,binomial,156380.617668,0,1
A,20,22,2,binomial,156533.208145,fibonacci,156533.208145,0,1
A,20,22,3,fibonacci,156493.967585,binomial,156493.967585,0,1
A,20,22,4,binomial,156658.808367,fibonacci,156658.808367,0,1
A,20,22,5,fibonacci,156443.33908,binomial,156443.33908,0,1
A,20,22,6,binomial,156353.70611,fibonacci,156353.70611,0,1
A,20,22,7,fibonacci,156157.056174,binomial,156157.056174,0,1
A,20,22,8,binomial,156272.647724,fibonacci,156272.647724,0,1
A,20,22,9,fibonacci,156320.215343,binomial,156320.215343,0,1
A,20,23,0,binomial,78805.2701071,fibonacci,78805.2701071,0,1
A,20,23,1,fibonacci,78721.7361779,binomial,78721.7361779,0,1
A,20,23,2,binomial,78687.0344794,fibonacci,78687.0344794,0,1
A,20,23,3,fibonacci,78644.7441467,binomial,78644.7441467,0,1
A,20,23,4,binomial,78724.3765395,fibonacci,78724.3765395,0,1
A,20,23,5,fibonacci,78632.2432957,binomial,78632.2432957,0,1
